id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8.06551E+17,Townhouse in Portland · ★5.0 · 1 bedroom · 1 bed · 2 shared baths,493461219,Nathan,,Arbor Lodge,45.57685133,-122.7022069,Private room,30,30,3,10/2/2023,0.28,9,292,3,
8.13684E+17,Townhouse in Portland · ★5.0 · 1 bedroom · 1 bed · 2 shared baths,493461219,Nathan,,Kenton,45.5780432,-122.7015336,Private room,31,30,3,11/3/2023,0.72,9,364,3,
8.0651E+17,Townhouse in Portland · ★4.80 · 1 bedroom · 1 bed · 2 shared baths,493461219,Nathan,,Kenton,45.57825,-122.70055,Private room,31,30,5,8/21/2023,0.5,9,364,5,Exempt
8.86953E+17,Townhouse in Portland · 1 bedroom · 1 bed · 2 shared baths,493461219,Nathan,,Kenton,45.57916254,-122.7005074,Private room,34,30,2,9/17/2023,0.33,9,364,2,Exempt
46568150,Home in Portland · ★4.83 · 1 bedroom · 1 bed · 2.5 baths,33081979,Elsa,,King,45.55467,-122.65889,Private room,35,1,237,11/27/2023,6.98,9,0,76,City registration pending
8.03571E+17,Townhouse in Portland · ★5.0 · 1 bedroom · 1 bed · 2 shared baths,493461219,Nathan,,Kenton,45.57909,-122.7027,Private room,36,30,3,10/20/2023,0.54,9,364,3,Exempt
6.24068E+17,Home in Portland · ★4.77 · 1 bedroom · 1 bed · 1 shared bath,33081979,Elsa,,Irvington,45.54074,-122.65524,Private room,37,1,150,11/30/2023,7.75,9,159,76,City registration pending
9.10046E+17,Townhouse in Portland · 1 bedroom · 1 bed · 2 shared baths,493461219,Nathan,,Kenton,45.57907,-122.70256,Private room,38,30,1,9/18/2023,0.32,9,364,1,Exempt
1.02611E+18,Home in Portland · ★New · 1 bedroom · 1 bed · 1 bath,545747472,Phoenix,,Richmond,45.5104182,-122.6263128,Private room,40,2,0,,,9,89,0,Exempt
48452803,Home in Portland · ★4.83 · 1 bedroom · 1 bed · 1.5 shared baths,33081979,Elsa,,King,45.55483,-122.66107,Private room,41,30,102,11/25/2023,3,9,94,22,City registration pending
1.02609E+18,Home in Portland · ★New · 1 bedroom · 1 bed · 1 bath,545747472,Phoenix,,Richmond,45.50957222,-122.6251038,Private room,43,2,1,11/19/2023,0.94,9,89,1,Exempt
